x-axis,1,2,3
second,Volt,Volt,Volt
-9.1900E-06,+30.1250000000E+00,+637.4999993E-03,+737.5001907E-03
-9.1800E-06,+30.1250000000E+00,+668.7499993E-03,+800.0001907E-03
-9.1700E-06,+28.2500000000E+00,+699.9999993E-03,+800.0001907E-03
-9.1600E-06,+28.8750000000E+00,+699.9999993E-03,+800.0001907E-03
-9.1500E-06,+28.2500000000E+00,+699.9999993E-03,+800.0001907E-03
-9.1400E-06,+27.6250000000E+00,+668.7499993E-03,+862.5001907E-03
-9.1300E-06,+27.0000000000E+00,+637.4999993E-03,+800.0001907E-03
-9.1200E-06,+27.0000000000E+00,+637.4999993E-03,+862.5001907E-03
-9.1100E-06,+26.3750000000E+00,+668.7499993E-03,+800.0001907E-03
-9.1000E-06,+26.3750000000E+00,+731.2499993E-03,+737.5001907E-03
-9.0900E-06,+25.7500000000E+00,+699.9999993E-03,+800.0001907E-03
-9.0800E-06,+25.7500000000E+00,+699.9999993E-03,+800.0001907E-03
-9.0700E-06,+26.3750000000E+00,+731.2499993E-03,+800.0001907E-03
-9.0600E-06,+25.7500000000E+00,+699.9999993E-03,+737.5001907E-03
-9.0500E-06,+25.7500000000E+00,+731.2499993E-03,+737.5001907E-03
-9.0400E-06,+25.7500000000E+00,+731.2499993E-03,+800.0001907E-03
-9.0300E-06,+25.7500000000E+00,+731.2499993E-03,+800.0001907E-03
-9.0200E-06,+25.7500000000E+00,+762.4999993E-03,+800.0001907E-03
-9.0100E-06,+26.3750000000E+00,+793.7499993E-03,+737.5001907E-03
-9.0000E-06,+25.7500000000E+00,+793.7499993E-03,+737.5001907E-03
-8.9900E-06,+25.7500000000E+00,+824.9999993E-03,+800.0001907E-03
-8.9800E-06,+26.3750000000E+00,+762.4999993E-03,+800.0001907E-03
-8.9700E-06,+27.0000000000E+00,+731.2499993E-03,+737.5001907E-03
-8.9600E-06,+27.6250000000E+00,+699.9999993E-03,+800.0001907E-03
-8.9500E-06,+27.0000000000E+00,+731.2499993E-03,+737.5001907E-03
-8.9400E-06,+27.0000000000E+00,+731.2499993E-03,+800.0001907E-03
-8.9300E-06,+27.6250000000E+00,+762.4999993E-03,+737.5001907E-03
-8.9200E-06,+27.6250000000E+00,+793.7499993E-03,+737.5001907E-03
-8.9100E-06,+28.2500000000E+00,+824.9999993E-03,+800.0001907E-03
-8.9000E-06,+28.2500000000E+00,+856.2499993E-03,+800.0001907E-03
-8.8900E-06,+28.8750000000E+00,+856.2499993E-03,+737.5001907E-03
-8.8800E-06,+28.8750000000E+00,+824.9999993E-03,+737.5001907E-03
-8.8700E-06,+29.5000000000E+00,+824.9999993E-03,+800.0001907E-03
-8.8600E-06,+30.1250000000E+00,+856.2499993E-03,+800.0001907E-03
-8.8500E-06,+29.5000000000E+00,+856.2499993E-03,+737.5001907E-03
-8.8400E-06,+30.1250000000E+00,+856.2499993E-03,+737.5001907E-03
-8.8300E-06,+30.1250000000E+00,+918.7499993E-03,+737.5001907E-03
-8.8200E-06,+30.7500000000E+00,+918.7499993E-03,+800.0001907E-03
-8.8100E-06,+31.3750000000E+00,+887.4999993E-03,+737.5001907E-03
